course_code,department,course_number,course_title,syllabus_link
CLPS 1480M,CLPS,1480M,Motivation and Effort,https://coursetools.brown.edu/syllabus/CLPS:1480M:2023-Spring:S01
CLPS 1500,CLPS,1500,Perception and Action,https://coursetools.brown.edu/syllabus/CLPS:1500:2023-Spring:S01
CLPS 1510,CLPS,1510,Laboratory in Auditory Perception,missing
CLPS 1560,CLPS,1560,Visually-Guided Action and Cognitive Processes,https://coursetools.brown.edu/syllabus/CLPS:1560:2023-Spring:S01
CLPS 1570,CLPS,1570,Perceptual Learning,https://coursetools.brown.edu/syllabus/CLPS:1570:2023-Spring:S01
CLPS 1580W,CLPS,1580W,Topics in visual perception,https://coursetools.brown.edu/syllabus/CLPS:1580W:2023-Spring:S01
CLPS 1700,CLPS,1700,Abnormal Psychology,https://coursetools.brown.edu/syllabus/CLPS:1700:2023-Spring:S01
CLPS 1760,CLPS,1760,The Moral Brain,missing
CLPS 1850,CLPS,1850,Language Processing in Humans and Machines,https://coursetools.brown.edu/syllabus/CLPS:1850:2023-Spring:S01
CLPS 1901,CLPS,1901,Research Methods,https://coursetools.brown.edu/syllabus/CLPS:1901:2023-Spring:S01
CLPS 1950,CLPS,1950,"Deep Learning in Brains, Minds and Machines",https://coursetools.brown.edu/syllabus/CLPS:1950:2023-Spring:S01
CLPS 1960,CLPS,1960,Senior Seminar in Behavioral Decision Sciences,https://coursetools.brown.edu/syllabus/CLPS:1960:2023-Spring:S01
CLPS 2002,CLPS,2002,Core Topics in Cognitive and Psychological Sciences II,missing
CLPS 2450,CLPS,2450,Exchange Scholar Program,missing
CLPS 2970,CLPS,2970,Preliminary Examination Preparation,missing
CLPS 2980,CLPS,2980,Foundations of Advanced Statistics,https://coursetools.brown.edu/syllabus/CLPS:2980:2023-Spring:S01
CLPS 2981,CLPS,2981,Advanced Statistics Module I: Categorical Data Analysis,https://coursetools.brown.edu/syllabus/CLPS:2981:2023-Spring:S01
CLPS 2990,CLPS,2990,Thesis Preparation,missing
COLT 0510K,COLT,0510K,The 1001 Nights,https://coursetools.brown.edu/syllabus/COLT:0510K:2023-Spring:S01
COLT 0610L,COLT,0610L,"Murder Ink: Narratives of Crime, Discovery, and Identity",https://coursetools.brown.edu/syllabus/COLT:0610L:2023-Spring:S01
COLT 0710B,COLT,0710B,Very Short Poetry: From Tanka to Twitter,https://coursetools.brown.edu/syllabus/COLT:0710B:2023-Spring:S01
COLT 0710Q,COLT,0710Q,The Odyssey in Literature and Film,https://coursetools.brown.edu/syllabus/COLT:0710Q:2023-Spring:S01
COLT 0711L,COLT,0711L,The Quran and its Readers,https://coursetools.brown.edu/syllabus/COLT:0711L:2023-Spring:S01
COLT 0810I,COLT,0810I,Tales and Talemakers of the Non-Western World,https://coursetools.brown.edu/syllabus/COLT:0810I:2023-Spring:S01
COLT 0811I,COLT,0811I,Classical Mythology and the Western Tradition,https://coursetools.brown.edu/syllabus/COLT:0811I:2023-Spring:S01
COLT 1310G,COLT,1310G,Silk Road Fictions,https://coursetools.brown.edu/syllabus/COLT:1310G:2023-Spring:S01
COLT 1310R,COLT,1310R,"From ""Wild Beast"" to ""True Born Prince"": Native Resistance in Native and Anglo-American Literature",missing
COLT 1310S,COLT,1310S,The Jewelers of the Ummah: The Jewish Muslim World is Not History (HMAN 1975U),missing
COLT 1420B,COLT,1420B,A Mirror for the Romantic: The Tale of Genji and,https://coursetools.brown.edu/syllabus/COLT:1420B:2023-Spring:S01
COLT 1431H,COLT,1431H,Women Writing Epic (CLAS 1930F),missing
COLT 1610V,COLT,1610V,The Promise of Being: Heidegger for Beginners,https://coursetools.brown.edu/syllabus/COLT:1610V:2023-Spring:S01
COLT 1810G,COLT,1810G,Fiction and History,https://coursetools.brown.edu/syllabus/COLT:1810G:2023-Spring:S01
COLT 1813Q,COLT,1813Q,Literature and Judgement,https://coursetools.brown.edu/syllabus/COLT:1813Q:2023-Spring:S01
COLT 1815U,COLT,1815U,Encountering Monsters in Comparative Literature,https://coursetools.brown.edu/syllabus/COLT:1815U:2023-Spring:S01
COLT 1815V,COLT,1815V,"""Blitzlesen"", or Fascism and Speed-reading: Deleuze, Cixous, Heidegger",https://coursetools.brown.edu/syllabus/COLT:1815V:2023-Spring:S01
COLT 2540N,COLT,2540N,Alexandrian Poetry (CLAS 2930A),https://coursetools.brown.edu/syllabus/COLT:2540N:2023-Spring:S01
COLT 2720D,COLT,2720D,Translation: Theory and Practice,https://coursetools.brown.edu/syllabus/COLT:2720D:2023-Spring:S01
COLT 2822H,COLT,2822H,Literature and Prayer,https://coursetools.brown.edu/syllabus/COLT:2822H:2023-Spring:S01
COLT 2822L,COLT,2822L,Gender and Political Control in Medieval Literature,missing
COLT 2990,COLT,2990,Thesis Preparation,missing
COST 0037,COST,0037,Sensing the Sacred: Sensory Culture in South Asian Religions,https://coursetools.brown.edu/syllabus/COST:0037:2023-Spring:S01
COST 0100,COST,0100,Introduction to Contemplative Studies,https://coursetools.brown.edu/syllabus/COST:0100:2023-Spring:S01
COST 0525,COST,0525,The History and Practice of Yoga in India and Beyond,https://coursetools.brown.edu/syllabus/COST:0525:2023-Spring:S01
COST 0535,COST,0535,Self Transformation and Transcendence in Later Daoist Contemplative Traditions,https://coursetools.brown.edu/syllabus/COST:0535:2023-Spring:S01
COST 1020,COST,1020,Cognitive Neuroscience of Meditation,missing
COST 1442,COST,1442,"The History, Philosophy, and Practice of Rinzai Zen Buddhism",missing
COST 1950,COST,1950,Senior Concentrators' Seminar,https://coursetools.brown.edu/syllabus/COST:1950:2023-Spring:S01
CSCI 0081,CSCI,0081,TA Apprenticeship: Full Credit,missing
CSCI 0082,CSCI,0082,TA Apprenticeship: Half Credit,missing
CSCI 0111,CSCI,0111,Computing Foundations: Data,https://coursetools.brown.edu/syllabus/CSCI:0111:2023-Spring:S01
CSCI 0130,CSCI,0130,User Interfaces and User Experience,https://coursetools.brown.edu/syllabus/CSCI:0130:2023-Spring:S01
CSCI 0200,CSCI,0200,Program Design with Data Structures and Algorithms,https://coursetools.brown.edu/syllabus/CSCI:0200:2023-Spring:S01
CSCI 0220,CSCI,0220,Introduction to Discrete Structures and Probability,https://coursetools.brown.edu/syllabus/CSCI:0220:2023-Spring:S01
CSCI 0300,CSCI,0300,Fundamentals of Computer Systems,https://coursetools.brown.edu/syllabus/CSCI:0300:2023-Spring:S01
CSCI 0320,CSCI,0320,Introduction to Software Engineering,missing
CSCI 1040,CSCI,1040,The Basics of Cryptographic Systems,https://coursetools.brown.edu/syllabus/CSCI:1040:2023-Spring:S01
CSCI 1280,CSCI,1280,Intermediate 3D Computer Animation,missing
CSCI 1310,CSCI,1310,Fundamentals of Computer Systems,https://coursetools.brown.edu/syllabus/CSCI:1310:2023-Spring:S01
CSCI 1340,CSCI,1340,Introduction to Software Engineering,missing
CSCI 1360,CSCI,1360,Human Factors in Cybersecurity,missing
CSCI 1380,CSCI,1380,Distributed Computer Systems,missing
CSCI 1420,CSCI,1420,Machine Learning,missing
CSCI 1430,CSCI,1430,Computer Vision,missing
CSCI 1440,CSCI,1440,Algorithmic Game Theory,missing
CSCI 1470,CSCI,1470,Deep Learning,https://coursetools.brown.edu/syllabus/CSCI:1470:2023-Spring:S01
CSCI 1515,CSCI,1515,Applied Cryptography,missing
CSCI 1620,CSCI,1620,Computer Systems Security Lab,missing
CSCI 1660,CSCI,1660,Introduction to Computer Systems Security,missing
CSCI 1670,CSCI,1670,Operating Systems,https://coursetools.brown.edu/syllabus/CSCI:1670:2023-Spring:S01
CSCI 1690,CSCI,1690,Operating Systems Laboratory,missing
CSCI 1710,CSCI,1710,Logic for Systems,missing
CSCI 1800,CSCI,1800,Cybersecurity and International Relations,missing
CSCI 1880,CSCI,1880,Introduction to Computer Security,missing
CSCI 1950U,CSCI,1950U,Topics in 3D Game Engine Development,missing
CSCI 1951A,CSCI,1951A,Data Science,https://coursetools.brown.edu/syllabus/CSCI:1951A:2023-Spring:S01
CSCI 1951I,CSCI,1951I,CS for Social Change,missing
CSCI 1951L,CSCI,1951L,Blockchains and Cryptocurrencies,https://coursetools.brown.edu/syllabus/CSCI:1951L:2023-Spring:S01
CSCI 1951T,CSCI,1951T,Surveying VR Data Visualization Software for Research,missing
CSCI 1951Z,CSCI,1951Z,Fairness in Automated Decision Making,https://coursetools.brown.edu/syllabus/CSCI:1951Z:2023-Spring:S01
CSCI 1952B,CSCI,1952B,Responsible Computer Science in Practice,https://coursetools.brown.edu/syllabus/CSCI:1952B:2023-Spring:S01
CSCI 1952I,CSCI,1952I,Language Processing in Humans and Machines (CLPS 1850),missing
CSCI 1952Q,CSCI,1952Q,Algorithmic Aspects of Machine Learning,missing
CSCI 1952X,CSCI,1952X,Contemporary Digital Policy and Politics,missing
CSCI 2002,CSCI,2002,Privacy and Personal Data Protection,missing
CSCI 2240,CSCI,2240,Advanced Computer Graphics,https://coursetools.brown.edu/syllabus/CSCI:2240:2023-Spring:S01
CSCI 2270,CSCI,2270,Topics in Database Management,missing
CSCI 2300,CSCI,2300,Human-­Computer Interaction Seminar,https://coursetools.brown.edu/syllabus/CSCI:2300:2023-Spring:S01
CSCI 2440,CSCI,2440,Advanced Algorithmic Game Theory,missing
CSCI 2470,CSCI,2470,Deep Learning,https://coursetools.brown.edu/syllabus/CSCI:2470:2023-Spring:S01
CSCI 2500C,CSCI,2500C,Graph Theory and Algorithms,https://coursetools.brown.edu/syllabus/CSCI:2500C:2023-Spring:S01
CSCI 2660,CSCI,2660,Computer Systems Security,missing
CSCI 2670,CSCI,2670,Operating Systems,https://coursetools.brown.edu/syllabus/CSCI:2670:2023-Spring:S01
CSCI 2890,CSCI,2890,Comprehensive Examination Preparation,missing
CSCI 2951K,CSCI,2951K,Topics in Collaborative Robotics,missing
CSCI 2951O,CSCI,2951O,Foundations of Prescriptive Analytics,https://coursetools.brown.edu/syllabus/CSCI:2951O:2023-Spring:S01
CSCI 2951X,CSCI,2951X,Reintegrating AI,missing
CSCI 2952N,CSCI,2952N,Advanced Topics in Deep Learning,https://coursetools.brown.edu/syllabus/CSCI:2952N:2023-Spring:S01
CSCI 2952O,CSCI,2952O,A Practical Introduction to Advanced 3D Robot Perception,missing
CSCI 2952S,CSCI,2952S,Topics in Cyber and Digital Policy,missing
CSCI 2990,CSCI,2990,Thesis Preparation,missing
CZCH 0100,CZCH,0100,Introductory Czech,https://coursetools.brown.edu/syllabus/CZCH:0100:2023-Spring:S01
DATA 0200,DATA,0200,Data Science Fluency,https://coursetools.brown.edu/syllabus/DATA:0200:2023-Spring:S01
DATA 1720,DATA,1720,Tackling Climate Change with Machine Learning (EEPS 1720),https://coursetools.brown.edu/syllabus/DATA:1720:2023-Spring:S01
DATA 1951Z,DATA,1951Z,Fairness in Automated Decision Making (CSCI 1951Z).,https://coursetools.brown.edu/syllabus/DATA:1951Z:2023-Spring:S01
DATA 2020,DATA,2020,Statistical Learning,https://coursetools.brown.edu/syllabus/DATA:2020:2023-Spring:S01
DATA 2050,DATA,2050,Data Science Practicum,missing
DATA 2060,DATA,2060,Machine Learning: from Theory to Algorithms,https://coursetools.brown.edu/syllabus/DATA:2060:2023-Spring:S01
DATA 2080,DATA,2080,Data and Society,missing
EAST 0010,EAST,0010,Beyond Orientalism: Understanding “East Asia”,missing
EAST 0150,EAST,0150,"Language, Culture, and Society: Korea",missing
EAST 0304,EAST,0304,Words on Things: Literature and Material Culture in Early Modern China,https://coursetools.brown.edu/syllabus/EAST:0304:2023-Spring:S01
EAST 1301,EAST,1301,Word for Word: Linguistic Principles in Chinese-English Translation,missing
EAST 1403,EAST,1403,Buddhist Classics,https://coursetools.brown.edu/syllabus/EAST:1403:2023-Spring:S01
EAST 1502,EAST,1502,"The Korea Brand: Understanding KPop, Film, and Culture of the Two Koreas in the Global Context",https://coursetools.brown.edu/syllabus/EAST:1502:2023-Spring:S01
EAST 1702,EAST,1702,Pacific Indigeneities: From Māori Mythology to James Cameron’s Avatar,https://coursetools.brown.edu/syllabus/EAST:1702:2023-Spring:S01
EAST 1932,EAST,1932,"Chinese Women, Gender and Feminism from Historical and Transnational Perspectives",https://coursetools.brown.edu/syllabus/EAST:1932:2023-Spring:S01
ECON 0110,ECON,0110,Principles of Economics,https://coursetools.brown.edu/syllabus/ECON:0110:2023-Spring:S01
ECON 0170,ECON,0170,Essential Mathematics for Economics,https://coursetools.brown.edu/syllabus/ECON:0170:2023-Spring:S01
ECON 0400,ECON,0400,Race and Inequality in America,https://coursetools.brown.edu/syllabus/ECON:0400:2023-Spring:S01
ECON 0710,ECON,0710,Financial Accounting,https://coursetools.brown.edu/syllabus/ECON:0710:2023-Spring:S01
ECON 1110,ECON,1110,Intermediate Microeconomics,https://coursetools.brown.edu/syllabus/ECON:1110:2023-Spring:S01
ECON 1130,ECON,1130,Intermediate Microeconomics (Mathematical),https://coursetools.brown.edu/syllabus/ECON:1130:2023-Spring:S01
ECON 1170,ECON,1170,Welfare Economics and Social Choice Theory,https://coursetools.brown.edu/syllabus/ECON:1170:2023-Spring:S01
ECON 1205,ECON,1205,The Economics of Populism and Polarization,https://coursetools.brown.edu/syllabus/ECON:1205:2023-Spring:S01
ECON 1210,ECON,1210,Intermediate Macroeconomics,https://coursetools.brown.edu/syllabus/ECON:1210:2023-Spring:S01
ECON 1350,ECON,1350,Environmental Economics and Policy,https://coursetools.brown.edu/syllabus/ECON:1350:2023-Spring:S01
ECON 1355,ECON,1355,Environmental Issues in Development Economics,https://coursetools.brown.edu/syllabus/ECON:1355:2023-Spring:S01
ECON 1410,ECON,1410,Urban Economics,missing
ECON 1420,ECON,1420,Industrial Organization,https://coursetools.brown.edu/syllabus/ECON:1420:2023-Spring:S01
ECON 1430,ECON,1430,The Economics of Social Policy,missing
ECON 1470,ECON,1470,Bargaining Theory and Applications,https://coursetools.brown.edu/syllabus/ECON:1470:2023-Spring:S01
ECON 1480,ECON,1480,Public Economics,missing
ECON 1490,ECON,1490,Designing Internet Marketplaces,https://coursetools.brown.edu/syllabus/ECON:1490:2023-Spring:S01
ECON 1540,ECON,1540,International Trade,https://coursetools.brown.edu/syllabus/ECON:1540:2023-Spring:S01
ECON 1590,ECON,1590,The Economy of China since 1949,missing
ECON 1620,ECON,1620,Introduction to Econometrics,https://coursetools.brown.edu/syllabus/ECON:1620:2023-Spring:S01
ECON 1629,ECON,1629,Applied Research Methods for Economists,https://coursetools.brown.edu/syllabus/ECON:1629:2023-Spring:S01
ECON 1630,ECON,1630,Mathematical Econometrics I,https://coursetools.brown.edu/syllabus/ECON:1630:2023-Spring:S01
ECON 1670,ECON,1670,Advanced Topics in Econometrics,https://coursetools.brown.edu/syllabus/ECON:1670:2023-Spring:S01
ECON 1680,ECON,1680,"Machine Learning, Text Analysis, and Economics",https://coursetools.brown.edu/syllabus/ECON:1680:2023-Spring:S01
ECON 1710,ECON,1710,Investments I,https://coursetools.brown.edu/syllabus/ECON:1710:2023-Spring:S01
ECON 1720,ECON,1720,Corporate Finance,https://coursetools.brown.edu/syllabus/ECON:1720:2023-Spring:S01
ECON 1830,ECON,1830,Behavioral Finance,https://coursetools.brown.edu/syllabus/ECON:1830:2023-Spring:S01
ECON 1850,ECON,1850,Theory of Economic Growth,https://coursetools.brown.edu/syllabus/ECON:1850:2023-Spring:S01
ECON 1960,ECON,1960,Honors Tutorial for Economics Majors,missing
ECON 2020,ECON,2020,Applied Economics Analysis,https://coursetools.brown.edu/syllabus/ECON:2020:2023-Spring:S01
ECON 2040,ECON,2040,Econometric Methods,https://coursetools.brown.edu/syllabus/ECON:2040:2023-Spring:S01
ECON 2060,ECON,2060,Microeconomics II,https://coursetools.brown.edu/syllabus/ECON:2060:2023-Spring:S01
ECON 2080,ECON,2080,Macroeconomics II,https://coursetools.brown.edu/syllabus/ECON:2080:2023-Spring:S01
ECON 2340,ECON,2340,Labor Economics II,https://coursetools.brown.edu/syllabus/ECON:2340:2023-Spring:S01
ECON 2400,ECON,2400,Applied Econometrics II,missing
ECON 2410,ECON,2410,Urbanization,missing
ECON 2510,ECON,2510,Economic Development I,missing
ECON 2630,ECON,2630,Econometric Theory,missing
ECON 2890C,ECON,2890C,Topics in Macro and Monetary Economics,missing
ECON 2930,ECON,2930,Workshop in Applied Economics,missing
ECON 2950,ECON,2950,Workshop in Econometrics,missing
ECON 2960,ECON,2960,Workshop in Macroeconomics and Related Topics,missing
ECON 2970,ECON,2970,Workshop in Economic Theory,missing
ECON 2990,ECON,2990,Thesis Preparation,missing
EDUC 0110,EDUC,0110,Democracy and Education,https://coursetools.brown.edu/syllabus/EDUC:0110:2023-Spring:S01
EDUC 0300,EDUC,0300,Introduction to Education and Society: Foundations of Opportunity and Inequality,https://coursetools.brown.edu/syllabus/EDUC:0300:2023-Spring:S01
EDUC 0508,EDUC,0508,Theory and Practice of Engaged Scholarship (SOC 0310),missing
EDUC 0540,EDUC,0540,Language and Education Policy in Multilingual Contexts,missing
EDUC 0560,EDUC,0560,Cultivating STEM Identities: Teaching for Equity in the Math and Science Classrooms,https://coursetools.brown.edu/syllabus/EDUC:0560:2023-Spring:S01
EDUC 0620,EDUC,0620,"Cradle of Inequality: The Role of Families, Schools, and Neighborhoods",https://coursetools.brown.edu/syllabus/EDUC:0620:2023-Spring:S01
EDUC 0750,EDUC,0750,Evidence and Method in Education Research,https://coursetools.brown.edu/syllabus/EDUC:0750:2023-Spring:S01
EDUC 0800,EDUC,0800,Introduction to Human Development and Education,https://coursetools.brown.edu/syllabus/EDUC:0800:2023-Spring:S01
EDUC 0835,EDUC,0835,Comparative Education,https://coursetools.brown.edu/syllabus/EDUC:0835:2023-Spring:S01
EDUC 0870,EDUC,0870,Perspectives on Multilingual Learners in US Schools,https://coursetools.brown.edu/syllabus/EDUC:0870:2023-Spring:S01
EDUC 1240,EDUC,1240,Using Qualitative Research Methods,https://coursetools.brown.edu/syllabus/EDUC:1240:2023-Spring:S01
EDUC 1300,EDUC,1300,Schools as Sites of Social Welfare: An Exploration of the Role of Social Workers in Schools,https://coursetools.brown.edu/syllabus/EDUC:1300:2023-Spring:S01
EDUC 1330,EDUC,1330,"Social Psychology of Race, Class, and Gender",https://coursetools.brown.edu/syllabus/EDUC:1330:2023-Spring:S01
EDUC 1615,EDUC,1615,Introduction to Community-Based Participatory Research in Education,https://coursetools.brown.edu/syllabus/EDUC:1615:2023-Spring:S01
EDUC 1675,EDUC,1675,The Psychology of Teaching and Learning,https://coursetools.brown.edu/syllabus/EDUC:1675:2023-Spring:S01
EDUC 2350,EDUC,2350,Economic Analysis and Urban Education Policy,missing
EDUC 2380,EDUC,2380,UEP Internship Seminar,https://coursetools.brown.edu/syllabus/EDUC:2380:2023-Spring:S01
EDUC 2390,EDUC,2390,Race and Democracy in Urban Education Policy,missing
EDUC 2530A,EDUC,2530A,Educational Theory and Practice III: English,missing
EDUC 2530B,EDUC,2530B,Educational Theory and Practice in Teaching Social Studies III,missing
EDUC 2530C,EDUC,2530C,Educational Theory and Practice in Teaching Science III,https://coursetools.brown.edu/syllabus/EDUC:2530C:2023-Spring:S01
EDUC 2530D,EDUC,2530D,Educational Theory and Practice in Teaching Mathematics III,https://coursetools.brown.edu/syllabus/EDUC:2530D:2023-Spring:S01
EDUC 2545,EDUC,2545,Teaching Literacy and Language to Emerging Bilinguals Across the Disciplines II,https://coursetools.brown.edu/syllabus/EDUC:2545:2023-Spring:S01
EDUC 2555,EDUC,2555,Assessment and Using Data to Support Student Learning,https://coursetools.brown.edu/syllabus/EDUC:2555:2023-Spring:S01
EDUC 2575,EDUC,2575,Student Teaching and Seminar,missing
EDUC 2990,EDUC,2990,Thesis Preparation,missing
EEPS 0010,EEPS,0010,Face of the Earth,https://coursetools.brown.edu/syllabus/EEPS:0010:2023-Spring:S01
EEPS 0160A,EEPS,0160A,Climate Justice,missing
EEPS 0160M,EEPS,0160M,Natural Disasters,missing
EEPS 0160Z,EEPS,0160Z,"Mountains: Past, Present and Future",missing
EEPS 0230,EEPS,0230,Geochemistry: Earth and Planetary Materials and Processes,https://coursetools.brown.edu/syllabus/EEPS:0230:2023-Spring:S01
EEPS 0240,EEPS,0240,Earth: Evolution of a Habitable Planet,https://coursetools.brown.edu/syllabus/EEPS:0240:2023-Spring:S01
EEPS 0810,EEPS,0810,Planetary Geology,missing
EEPS 0850,EEPS,0850,Weather and Climate,missing
EEPS 1310,EEPS,1310,Global Water Cycle,missing
EEPS 1330,EEPS,1330,Global Environmental Remote Sensing,missing
EEPS 1380,EEPS,1380,Environmental Stable Isotopes,https://coursetools.brown.edu/syllabus/EEPS:1380:2023-Spring:S01
EEPS 1450,EEPS,1450,Structural Geology,https://coursetools.brown.edu/syllabus/EEPS:1450:2023-Spring:S01
EEPS 1520,EEPS,1520,Ocean Circulation and Climate,https://coursetools.brown.edu/syllabus/EEPS:1520:2023-Spring:S01
EEPS 1650,EEPS,1650,Earthquake Seismology,https://coursetools.brown.edu/syllabus/EEPS:1650:2023-Spring:S01
EEPS 1720,EEPS,1720,Tackling Climate Change with Machine Learning,https://coursetools.brown.edu/syllabus/EEPS:1720:2023-Spring:S01
EEPS 1960A,EEPS,1960A,Earthquakes and the Rheology of the Crust and Mantle,missing
EEPS 1960F,EEPS,1960F,"Patterns: in Nature, in Society",https://coursetools.brown.edu/syllabus/EEPS:1960F:2023-Spring:S01
EEPS 1960N,EEPS,1960N,Seminar in Analytical Geochemistry,missing
EEPS 1960W,EEPS,1960W,"El Niño, Climate Variability and Change",https://coursetools.brown.edu/syllabus/EEPS:1960W:2023-Spring:S01
EEPS 2460,EEPS,2460,Phase Equilibria,https://coursetools.brown.edu/syllabus/EEPS:2460:2023-Spring:S01
EEPS 2920Y,EEPS,2920Y,Frontiers in Solid Earth Geochemistry,https://coursetools.brown.edu/syllabus/EEPS:2920Y:2023-Spring:S01
EEPS 2990,EEPS,2990,Thesis Preparation,missing
EGYT 1030,EGYT,1030,Collapse! Ancient Egypt after the Pyramid Age,missing
EGYT 1320,EGYT,1320,Introduction to Classical Hieroglyphic Egyptian Writing and Language (Middle Egyptian II),missing
EGYT 1400,EGYT,1400,Ethiopia Shall Stretch Forth Her Hands: Black Reception of Ancient Egypt and Nubia,https://coursetools.brown.edu/syllabus/EGYT:1400:2023-Spring:S01
EGYT 1420,EGYT,1420,Ancient Egyptian Religion and Magic,https://coursetools.brown.edu/syllabus/EGYT:1420:2023-Spring:S01
EGYT 2970,EGYT,2970,Preliminary Examination Preparation,missing
EGYT 2990,EGYT,2990,Thesis Preparation,missing
EINT 2300,EINT,2300,Negotiating an American Classroom,https://coursetools.brown.edu/syllabus/EINT:2300:2023-Spring:S01
EINT 2400,EINT,2400,Speaking Professionally for Internationals,missing
EINT 2500,EINT,2500,Advanced Articulation Tutorial,https://coursetools.brown.edu/syllabus/EINT:2500:2023-Spring:S01
EMOW 0050M,EMOW,0050M,Difficult Relations? Judaism and Christianity from the Middle Ages until the Present (JUDS 0050M),https://coursetools.brown.edu/syllabus/EMOW:0050M:2023-Spring:S01
EMOW 0273B,EMOW,0273B,"Religion and European Colonialism, 1700-1900 (HIST 0273B)",https://coursetools.brown.edu/syllabus/EMOW:0273B:2023-Spring:S01
EMOW 0310A,EMOW,0310A,Introduction to Shakespeare (ENGL 0310A),https://coursetools.brown.edu/syllabus/EMOW:0310A:2023-Spring:S01
EMOW 0522O,EMOW,0522O,What is Enlightenment? (HIST0522O),https://coursetools.brown.edu/syllabus/EMOW:0522O:2023-Spring:S01
EMOW 1266D,EMOW,1266D,"British History, 1660-1800 (HIST 1266D)",https://coursetools.brown.edu/syllabus/EMOW:1266D:2023-Spring:S01
EMOW 1310A,EMOW,1310A,Firing the Canon: Early Modern Women's Writing (ENGL 1310A),https://coursetools.brown.edu/syllabus/EMOW:1310A:2023-Spring:S01
EMOW 1311M,EMOW,1311M,Renaissance Poetry and Its Kinds (ENGL 1311M),https://coursetools.brown.edu/syllabus/EMOW:1311M:2023-Spring:S01
EMOW 1340,EMOW,1340,History of the Andes from Incas to Evo Morales (HIST 1340),https://coursetools.brown.edu/syllabus/EMOW:1340:2023-Spring:S01
EMOW 1815Q,EMOW,1815Q,"Disability Studies and Premodern Literature: Gender, Politics, Health (COLT 1815Q)",https://coursetools.brown.edu/syllabus/EMOW:1815Q:2023-Spring:S01
ENGL 0100M,ENGL,0100M,Writing War,https://coursetools.brown.edu/syllabus/ENGL:0100M:2023-Spring:S01
ENGL 0100Q,ENGL,0100Q,How Poems See,https://coursetools.brown.edu/syllabus/ENGL:0100Q:2023-Spring:S01
ENGL 0101B,ENGL,0101B,Earth Poetics: Literature and Climate Change,https://coursetools.brown.edu/syllabus/ENGL:0101B:2023-Spring:S01
ENGL 0150Q,ENGL,0150Q,Realism and Modernism,https://coursetools.brown.edu/syllabus/ENGL:0150Q:2023-Spring:S01
ENGL 0150X,ENGL,0150X,The Claims of Fiction,missing
ENGL 0151C,ENGL,0151C,Midsummers,https://coursetools.brown.edu/syllabus/ENGL:0151C:2023-Spring:S01
ENGL 0201D,ENGL,0201D,Writing Life: The Self in Narration,https://coursetools.brown.edu/syllabus/ENGL:0201D:2023-Spring:S01
ENGL 0201E,ENGL,0201E,Guilty Pleasures: Science Fiction & Horror Survey,missing
ENGL 0300F,ENGL,0300F,Beowulf to Aphra Behn: The Earliest British Literatures,https://coursetools.brown.edu/syllabus/ENGL:0300F:2023-Spring:S01
ENGL 0300N,ENGL,0300N,How To Be Alone: Solitude and Subjectivity,https://coursetools.brown.edu/syllabus/ENGL:0300N:2023-Spring:S01
ENGL 0310A,ENGL,0310A,Shakespeare,https://coursetools.brown.edu/syllabus/ENGL:0310A:2023-Spring:S01
ENGL 0500R,ENGL,0500R,Slavery and American Literature,https://coursetools.brown.edu/syllabus/ENGL:0500R:2023-Spring:S01
ENGL 0500S,ENGL,0500S,Sinners and Saints: Literature and the Moral Imagination,https://coursetools.brown.edu/syllabus/ENGL:0500S:2023-Spring:S01
ENGL 0511J,ENGL,0511J,"Renegades, Reprobates, and Castaways",https://coursetools.brown.edu/syllabus/ENGL:0511J:2023-Spring:S01
ENGL 0511P,ENGL,0511P,Severed Selves: Victorian Horror and Science Fiction,https://coursetools.brown.edu/syllabus/ENGL:0511P:2023-Spring:S01
ENGL 0700O,ENGL,0700O,"The Great Debate: Wright, Hurston, and the Meaning of Twentieth-Century Black American Literature",missing
ENGL 0710T,ENGL,0710T,Reading New York,https://coursetools.brown.edu/syllabus/ENGL:0710T:2023-Spring:S01
ENGL 0710W,ENGL,0710W,Readings in Black and Queer,https://coursetools.brown.edu/syllabus/ENGL:0710W:2023-Spring:S01
ENGL 0900,ENGL,0900,Critical Reading and Writing I: The Academic Essay,https://coursetools.brown.edu/syllabus/ENGL:0900:2023-Spring:S01
ENGL 0930,ENGL,0930,Introduction to Creative Nonfiction,missing
ENGL 1030C,ENGL,1030C,Writing Science,missing
ENGL 1030G,ENGL,1030G,Backstory,https://coursetools.brown.edu/syllabus/ENGL:1030G:2023-Spring:S01
ENGL 1030H,ENGL,1030H,Black Popular Culture and Social Movements,https://coursetools.brown.edu/syllabus/ENGL:1030H:2023-Spring:S01
ENGL 1030I,ENGL,1030I,Critical Fabulation: the fiction of nonfiction,https://coursetools.brown.edu/syllabus/ENGL:1030I:2023-Spring:S01
ENGL 1050B,ENGL,1050B,True Stories,https://coursetools.brown.edu/syllabus/ENGL:1050B:2023-Spring:S01
ENGL 1050H,ENGL,1050H,Writing Journalism,https://coursetools.brown.edu/syllabus/ENGL:1050H:2023-Spring:S01
ENGL 1050O,ENGL,1050O,Writing the Asian American Experience,https://coursetools.brown.edu/syllabus/ENGL:1050O:2023-Spring:S01
ENGL 1050S,ENGL,1050S,Writing the City,https://coursetools.brown.edu/syllabus/ENGL:1050S:2023-Spring:S01
