course_code,department,course_number,course_title,syllabus_link
ANTH 2020,ANTH,2020,Methods of Anthropological Research,https://coursetools.brown.edu/syllabus/ANTH:2020:2023-Spring:S01
ANTH 2060,ANTH,2060,Anthropology Dissertators' Seminar,https://coursetools.brown.edu/syllabus/ANTH:2060:2023-Spring:S01
ANTH 2515,ANTH,2515,Material Matters,https://coursetools.brown.edu/syllabus/ANTH:2515:2023-Spring:S01
ANTH 2800,ANTH,2800,Linguistic Theory and Practice,https://coursetools.brown.edu/syllabus/ANTH:2800:2023-Spring:S01
ANTH 2970,ANTH,2970,Preliminary Examination Preparation,missing
ANTH 2990,ANTH,2990,Thesis Preparation,missing
APMA 0160,APMA,0160,Introduction to Scientific Computing,https://coursetools.brown.edu/syllabus/APMA:0160:2023-Spring:S01
APMA 0200,APMA,0200,Introduction to Modeling,https://coursetools.brown.edu/syllabus/APMA:0200:2023-Spring:S01
APMA 0350,APMA,0350,Applied Ordinary Differential Equations,https://coursetools.brown.edu/syllabus/APMA:0350:2023-Spring:S01
APMA 0360,APMA,0360,Applied Partial Differential Equations I,https://coursetools.brown.edu/syllabus/APMA:0360:2023-Spring:S01
APMA 0650,APMA,0650,Essential Statistics,https://coursetools.brown.edu/syllabus/APMA:0650:2023-Spring:S01
APMA 1070,APMA,1070,Quantitative Models of Biological Systems,https://coursetools.brown.edu/syllabus/APMA:1070:2023-Spring:S01
APMA 1160,APMA,1160,An Introduction to Numerical Optimization,https://coursetools.brown.edu/syllabus/APMA:1160:2023-Spring:S01
APMA 1200,APMA,1200,Operations Research: Probabilistic Models,https://coursetools.brown.edu/syllabus/APMA:1200:2023-Spring:S01
APMA 1650,APMA,1650,Statistical Inference I,https://coursetools.brown.edu/syllabus/APMA:1650:2023-Spring:S01
APMA 1655,APMA,1655,Honors Statistical Inference I,https://coursetools.brown.edu/syllabus/APMA:1655:2023-Spring:S01
APMA 1660,APMA,1660,Statistical Inference II,https://coursetools.brown.edu/syllabus/APMA:1660:2023-Spring:S01
APMA 1720,APMA,1720,Monte Carlo Simulation with Applications to Finance,https://coursetools.brown.edu/syllabus/APMA:1720:2023-Spring:S01
APMA 1740,APMA,1740,Recent Applications of Probability and Statistics,missing
APMA 1860,APMA,1860,Graphs and Networks,https://coursetools.brown.edu/syllabus/APMA:1860:2023-Spring:S01
APMA 1940Y,APMA,1940Y,Wavelets and Applications,https://coursetools.brown.edu/syllabus/APMA:1940Y:2023-Spring:S01
APMA 1941D,APMA,1941D,Pattern Theory,https://coursetools.brown.edu/syllabus/APMA:1941D:2023-Spring:S01
APMA 2070,APMA,2070,Deep Learning for Scientists & Engineers,https://coursetools.brown.edu/syllabus/APMA:2070:2023-Spring:S01
APMA 2120,APMA,2120,Hilbert Spaces and Their Applications,https://coursetools.brown.edu/syllabus/APMA:2120:2023-Spring:S01
APMA 2200,APMA,2200,Nonlinear Dynamical Systems: Theory and Applications,missing
APMA 2560,APMA,2560,Numerical Solution of Partial Differential Equations II,https://coursetools.brown.edu/syllabus/APMA:2560:2023-Spring:S01
APMA 2580B,APMA,2580B,Computational Fluid Dynamics for Compressible Flows,https://coursetools.brown.edu/syllabus/APMA:2580B:2023-Spring:S01
APMA 2610,APMA,2610,Recent Applications of Probability and Statistics,missing
APMA 2640,APMA,2640,Theory of Probability II,missing
APMA 2990,APMA,2990,Thesis Preparation,missing
ARAB 0200,ARAB,0200,First-Year Arabic,https://coursetools.brown.edu/syllabus/ARAB:0200:2023-Spring:S01
ARAB 0400,ARAB,0400,Second-Year Arabic,https://coursetools.brown.edu/syllabus/ARAB:0400:2023-Spring:S01
ARAB 0600,ARAB,0600,Third-Year Arabic,https://coursetools.brown.edu/syllabus/ARAB:0600:2023-Spring:S01
ARAB 0950,ARAB,0950,Advanced Reading and Composition: Arabic Fiction in the West,https://coursetools.brown.edu/syllabus/ARAB:0950:2023-Spring:S01
ARCH 0322,ARCH,0322,"Somewhere Back in Time: Archaeology, the Ancient World, and Heavy Metal Music",https://coursetools.brown.edu/syllabus/ARCH:0322:2023-Spring:S01
ARCH 0755,ARCH,0755,Engineering and Technology in the Ancient World,https://coursetools.brown.edu/syllabus/ARCH:0755:2023-Spring:S01
ARCH 0763,ARCH,0763,The Private Life of the Privy: A Secret History of Toilets,missing
ARCH 0770,ARCH,0770,Archaeology of Eating and Drinking,https://coursetools.brown.edu/syllabus/ARCH:0770:2023-Spring:S01
ARCH 1155,ARCH,1155,"Cities, Colonies and Global Networks in the Western Mediterranean",https://coursetools.brown.edu/syllabus/ARCH:1155:2023-Spring:S01
ARCH 1162,ARCH,1162,Anthropology in/of the Museum (ANTH 1901),missing
ARCH 1235,ARCH,1235,Vertical Civilization: South American Archaeology from Monte Verde to the Inkas (ANTH 1505),missing
ARCH 1282,ARCH,1282,"Mediterranean Culture Wars: Archaic Greek History, c. 1200 to 479 BC (CLAS 1210)",missing
ARCH 1434,ARCH,1434,"Jerusalem: Jews, Christians, Muslims (UNIV 1003).",https://coursetools.brown.edu/syllabus/ARCH:1434:2023-Spring:S01
ARCH 1487,ARCH,1487,Environmental History of East Asia (HIST 1820B),https://coursetools.brown.edu/syllabus/ARCH:1487:2023-Spring:S01
ARCH 1515,ARCH,1515,The Fair Sex: Female Body and Sexuality in Ancient Greece and Beyond,missing
ARCH 1543,ARCH,1543,"Decolonizing Classical Antiquity:White Nationalism,Colonialism, Ancient Material Heritage(MGRK 1220)",missing
ARCH 1604,ARCH,1604,Borderlands: Art and Culture between Rome and Iran (HIAA 1432).,https://coursetools.brown.edu/syllabus/ARCH:1604:2023-Spring:S01
ARCH 1772,ARCH,1772,The Human Skeleton (ANTH 1720),https://coursetools.brown.edu/syllabus/ARCH:1772:2023-Spring:S01
ARCH 1782,ARCH,1782,Violence of the Past (ANTH 1730),https://coursetools.brown.edu/syllabus/ARCH:1782:2023-Spring:S01
ARCH 1793,ARCH,1793,Slavery in the Ancient World (CLAS 1120E),missing
ARCH 1852,ARCH,1852,Material Culture Practicum (ANTH 1621),missing
ARCH 2101,ARCH,2101,Material Matters (ANTH 2515),https://coursetools.brown.edu/syllabus/ARCH:2101:2023-Spring:S01
ARCH 2610,ARCH,2610,From Hilltop to Caput Mundi: The Archaeology of the Roman World,missing
ARCH 2622,ARCH,2622,Roman Topography (CLAS 2010B),missing
ARTS 1001,ARTS,1001,Arts Writing: New Forms of Cultural Critique,https://coursetools.brown.edu/syllabus/ARTS:1001:2023-Spring:S01
ARTS 1004,ARTS,1004,Race and the Making of Art,https://coursetools.brown.edu/syllabus/ARTS:1004:2023-Spring:S01
ARTS 1005,ARTS,1005,New Forms of Theatre: Traditional Storytelling to Storyweaving,https://coursetools.brown.edu/syllabus/ARTS:1005:2023-Spring:S01
ARTS 1110V,ARTS,1110V,Script to Screen: Scene Work (LITR 1110V).,missing
ARTS 1205,ARTS,1205,Black Queer Diasporas (MCM 1205F),missing
ARTS 1800,ARTS,1800,ArtsCorps & The Future of Arts Work,https://coursetools.brown.edu/syllabus/ARTS:1800:2023-Spring:S01
ARTS 1910A,ARTS,1910A,Artist@Work: Carrie Mae Weems,https://coursetools.brown.edu/syllabus/ARTS:1910A:2023-Spring:S01
ARTS 2000,ARTS,2000,Frequencies of Black Life,https://coursetools.brown.edu/syllabus/ARTS:2000:2023-Spring:S01
ARTS 2001,ARTS,2001,"Intertextuality, Interconnectivity: A Performative Sonnet Approach",https://coursetools.brown.edu/syllabus/ARTS:2001:2023-Spring:S01
ARTS 2090W,ARTS,2090W,Black Feminist Sonic Practices (MUSC 2090E).,missing
ARTS 2401,ARTS,2401,Racial Ecologies (HMAN 2401Q).,https://coursetools.brown.edu/syllabus/ARTS:2401:2023-Spring:S01
ASYR 0320,ASYR,0320,The Origin(s) of Science,https://coursetools.brown.edu/syllabus/ASYR:0320:2023-Spring:S01
ASYR 1010,ASYR,1010,Intermediate Akkadian,missing
ASYR 2710,ASYR,2710,Babylonian Astronomy,https://coursetools.brown.edu/syllabus/ASYR:2710:2023-Spring:S01
ASYR 2990,ASYR,2990,Thesis Preparation,missing
BEO 1940A,BEO,1940A,BEO Capstone II: Organizational Studies Track,https://coursetools.brown.edu/syllabus/BEO:1940A:2023-Spring:S01
BEO 1940B,BEO,1940B,BEO Capstone II: Entrepreneurship and Technology Management Track,missing
BHBR 0200,BHBR,0200,Readings in Biblical Hebrew,https://coursetools.brown.edu/syllabus/BHBR:0200:2023-Spring:S01
BIOL 0080,BIOL,0080,Biotechnology Management,https://coursetools.brown.edu/syllabus/BIOL:0080:2023-Spring:S01
BIOL 0150D,BIOL,0150D,"Techniques in Regenerative Medicine: Cells, Scaffolds and Staining",https://coursetools.brown.edu/syllabus/BIOL:0150D:2023-Spring:S01
BIOL 0160,BIOL,0160,"Plants, Food, and People",https://coursetools.brown.edu/syllabus/BIOL:0160:2023-Spring:S01
BIOL 0190S,BIOL,0190S,"Phage Hunters, Part II",https://coursetools.brown.edu/syllabus/BIOL:0190S:2023-Spring:S01
BIOL 0190U,BIOL,0190U,The Lives of Plants,https://coursetools.brown.edu/syllabus/BIOL:0190U:2023-Spring:S01
BIOL 0200,BIOL,0200,The Foundation of Living Systems,https://coursetools.brown.edu/syllabus/BIOL:0200:2023-Spring:S01
BIOL 0280,BIOL,0280,Biochemistry,https://coursetools.brown.edu/syllabus/BIOL:0280:2023-Spring:S01
BIOL 0285,BIOL,0285,Inquiry in Biochemistry: From Gene to Protein Function,https://coursetools.brown.edu/syllabus/BIOL:0285:2023-Spring:S01
BIOL 0420,BIOL,0420,Principles of Ecology,https://coursetools.brown.edu/syllabus/BIOL:0420:2023-Spring:S01
BIOL 0430,BIOL,0430,The Evolution of Plant Diversity,https://coursetools.brown.edu/syllabus/BIOL:0430:2023-Spring:S01
BIOL 0440,BIOL,0440,"Inquiry in Plant Biology: Analysis of Plant Growth, Reproduction and Adaptive Responses",https://coursetools.brown.edu/syllabus/BIOL:0440:2023-Spring:S01
BIOL 0495,BIOL,0495,Statistical Analysis of Biological Data,https://coursetools.brown.edu/syllabus/BIOL:0495:2023-Spring:S01
BIOL 0500,BIOL,0500,Cell and Molecular Biology,https://coursetools.brown.edu/syllabus/BIOL:0500:2023-Spring:S01
BIOL 0510,BIOL,0510,Introductory Microbiology,https://coursetools.brown.edu/syllabus/BIOL:0510:2023-Spring:S01
BIOL 0860,BIOL,0860,Diet and Chronic Disease,https://coursetools.brown.edu/syllabus/BIOL:0860:2023-Spring:S01
BIOL 0946,BIOL,0946,Research Design + Quantitative Methods for the Health Sciences,https://coursetools.brown.edu/syllabus/BIOL:0946:2023-Spring:S01
BIOL 1040,BIOL,1040,Ultrastructure/Bioimaging,https://coursetools.brown.edu/syllabus/BIOL:1040:2023-Spring:S01
BIOL 1100,BIOL,1100,Cell Physiology and Biophysics,https://coursetools.brown.edu/syllabus/BIOL:1100:2023-Spring:S01
